movie_title,num_critic_for_reviews,duration,gross,genres,movie_imdb_link,num_voted_users,facenumber_in_poster,plot_keywords,num_user_for_reviews,language,country,content_rating,budget,title_year,imdb_score,aspect_ratio,movie_facebook_likes
Titanic ,315,194,658672302,Drama|Romance,http://www.imdb.com/title/tt0120338/?ref_=fn_tt_tt_1,793059,0,artist|love|ship|titanic|wet,2528,English,USA,PG-13,200000000,1997,7.7,2.35,26000
Captain America: Civil War ,516,147,407197282,Action|Adventure|Sci-Fi,http://www.imdb.com/title/tt3498820/?ref_=fn_tt_tt_1,272670,0,based on comic book|knife|marvel cinematic universe|returning character killed off|superhero,1022,English,USA,PG-13,250000000,2016,8.2,2.35,72000
Battleship ,377,131,65173160,Action|Adventure|Sci-Fi|Thriller,http://www.imdb.com/title/tt1440129/?ref_=fn_tt_tt_1,202382,0,box office flop|hawaii|naval|oahu hawaii|ship,751,English,USA,PG-13,209000000,2012,5.9,2.35,44000
Jurassic World ,644,124,652177271,Action|Adventure|Sci-Fi|Thriller,http://www.imdb.com/title/tt0369610/?ref_=fn_tt_tt_1,418214,0,dinosaur|disaster film|experiment gone wrong|jurassic park|velociraptor,1290,English,USA,PG-13,150000000,2015,7,2,150000
Skyfall ,750,143,304360277,Action|Adventure|Thriller,http://www.imdb.com/title/tt1074638/?ref_=fn_tt_tt_1,522030,0,brawl|childhood home|computer cracker|intelligence agency|terrorist cell,1498,English,UK,PG-13,200000000,2012,7.8,2.35,80000
Spider-Man 2,300,135,373377893,Action|Adventure|Fantasy|Romance,http://www.imdb.com/title/tt0316654/?ref_=fn_tt_tt_1,411164,1,death|doctor|scientist|super villain|tentacle,1303,English,USA,PG-13,200000000,2004,7.3,2.35,0
Iron Man 3,608,195,408992272,Action|Adventure|Sci-Fi,http://www.imdb.com/title/tt1300854/?ref_=fn_tt_tt_1,557489,3,armor|explosion|human bomb|missile attack|terrorist,1187,English,USA,PG-13,200000000,2013,7.2,2.35,95000
Alice in Wonderland ,451,108,334185206,Adventure|Family|Fantasy,http://www.imdb.com/title/tt1014759/?ref_=fn_tt_tt_1,306320,0,alice in wonderland|mistaking reality for dream|queen|shrinking|shrinking potion,736,English,USA,PG,200000000,2010,6.5,1.85,24000
X-Men: The Last Stand ,334,104,234360014,Action|Adventure|Fantasy|Sci-Fi|Thriller,http://www.imdb.com/title/tt0376994/?ref_=fn_tt_tt_1,383427,0,battle|mutant|outrage|walking through a wall|x men,1912,English,Canada,PG-13,210000000,2006,6.8,2.35,0
Monsters University ,376,104,268488329,Adventure|Animation|Comedy|Family|Fantasy,http://www.imdb.com/title/tt1453405/?ref_=fn_tt_tt_1,235025,0,cheating|fraternity|monster|singing in a car|university,265,English,USA,G,200000000,2013,7.3,1.85,44000
Transformers: Revenge of the Fallen ,366,150,402076689,Action|Adventure|Sci-Fi,http://www.imdb.com/title/tt1055369/?ref_=fn_tt_tt_1,323207,0,autobot|decepticon|machine|sun|symbol,1439,English,USA,PG-13,200000000,2009,6,2.35,0
Transformers: Age of Extinction ,378,165,245428137,Action|Adventure|Sci-Fi,http://www.imdb.com/title/tt2109248/?ref_=fn_tt_tt_1,242420,2,blockbuster|bumblebee the character|semi truck and trailer|texas|truck,918,English,USA,PG-13,210000000,2014,5.7,2.35,56000
Oz the Great and Powerful ,525,130,234903076,Adventure|Family|Fantasy,http://www.imdb.com/title/tt1623205/?ref_=fn_tt_tt_1,175409,4,circus|magic|magician|oz|witch,511,English,USA,PG,215000000,2013,6.4,2.35,60000
The Amazing Spider-Man 2,495,142,202853933,Action|Adventure|Fantasy|Sci-Fi,http://www.imdb.com/title/tt1872181/?ref_=fn_tt_tt_1,321227,0,costumed hero|death of girlfriend|masked vigilante|returning character killed off|teenager,1067,English,USA,PG-13,200000000,2014,6.7,2.35,41000
TRON: Legacy ,469,125,172051787,Action|Adventure|Sci-Fi,http://www.imdb.com/title/tt1104001/?ref_=fn_tt_tt_1,264183,0,arcade|bridge|disappearance|escape|warrior,665,English,USA,PG,170000000,2010,6.8,2.35,30000
Cars 2,304,106,191450875,Adventure|Animation|Comedy|Family|Sport,http://www.imdb.com/title/tt1216475/?ref_=fn_tt_tt_1,101178,0,best friend|car race|conspiracy|gadget car|spy,283,English,USA,G,200000000,2011,6.3,2.35,10000
Green Lantern ,436,123,116593191,Action|Adventure|Sci-Fi,http://www.imdb.com/title/tt1133985/?ref_=fn_tt_tt_1,223393,2,autopsy|lantern|planet|ring|test pilot,550,English,USA,PG-13,200000000,2011,5.6,2.35,24000
Toy Story 3,453,103,414984497,Adventure|Animation|Comedy|Family|Fantasy,http://www.imdb.com/title/tt0435761/?ref_=fn_tt_tt_1,544884,3,college|day care|escape|teddy bear|toy,733,English,USA,G,200000000,2010,8.3,1.85,30000
Terminator Salvation ,422,118,125320003,Action|Adventure|Sci-Fi,http://www.imdb.com/title/tt0438488/?ref_=fn_tt_tt_1,286095,0,death row|future|machine|rescue|skynet,974,English,USA,PG-13,200000000,2009,6.6,2.35,0
Furious 7,424,140,350034110,Action|Crime|Thriller,http://www.imdb.com/title/tt2820852/?ref_=fn_tt_tt_1,278232,0,car falling off a cliff|hospital|revenge|star died before release|terrorist,657,English,USA,PG-13,190000000,2015,7.2,2.35,94000
World War Z ,654,123,202351611,Action|Adventure|Horror|Sci-Fi|Thriller,http://www.imdb.com/title/tt0816711/?ref_=fn_tt_tt_1,465019,0,chaos|disease|infection|pandemic|zombie,995,English,USA,PG-13,190000000,2013,7,2.35,129000
X-Men: Days of Future Past ,539,149,233914986,Action|Adventure|Fantasy|Sci-Fi|Thriller,http://www.imdb.com/title/tt1877832/?ref_=fn_tt_tt_1,514125,7,dystopia|super strength|supernatural power|time paradox|time travel,752,English,USA,PG-13,200000000,2014,8,2.35,82000
Star Trek Into Darkness ,590,132,228756232,Action|Adventure|Sci-Fi,http://www.imdb.com/title/tt1408101/?ref_=fn_tt_tt_1,395573,0,admiral|captain|manhunt|mission|space,1171,English,USA,PG-13,190000000,2013,7.8,2.35,92000
Jack the Giant Slayer ,338,114,65171860,Adventure|Fantasy,http://www.imdb.com/title/tt1351685/?ref_=fn_tt_tt_1,106416,1,bean|giant|king|no opening credits|princess,205,English,USA,PG-13,195000000,2013,6.3,2.35,22000
The Great Gatsby ,490,143,144812796,Drama|Romance,http://www.imdb.com/title/tt1343092/?ref_=fn_tt_tt_1,362912,4,ingratitude|mansion|party|title appears in writing|tragedy,753,English,Australia,PG-13,105000000,2013,7.3,2.35,115000
Prince of Persia: The Sands of Time ,306,116,90755643,Action|Adventure|Fantasy|Romance,http://www.imdb.com/title/tt0473075/?ref_=fn_tt_tt_1,222403,2,alamut|dagger|king|persia|princess,453,English,USA,PG-13,200000000,2010,6.6,2.35,23000
Pacific Rim ,575,131,101785482,Action|Adventure|Sci-Fi,http://www.imdb.com/title/tt1663662/?ref_=fn_tt_tt_1,381148,0,giant monster|kaiju|pilot|portal|robot,1106,English,USA,PG-13,190000000,2013,7,1.85,83000
Transformers: Dark of the Moon ,428,154,352358779,Action|Adventure|Sci-Fi,http://www.imdb.com/title/tt1399103/?ref_=fn_tt_tt_1,326180,2,autobot|decepticon|job interview|moon|spacecraft,899,English,USA,PG-13,195000000,2011,6.3,2.35,46000
Indiana Jones and the Kingdom of the Crystal Skull ,470,122,317011114,Action|Adventure|Fantasy,http://www.imdb.com/title/tt0367882/?ref_=fn_tt_tt_1,333847,2,cult figure|femme fatale|indiana jones|unsubtitled foreign language|year 1957,2054,English,USA,PG-13,185000000,2008,6.2,2.35,5000
The Good Dinosaur ,298,93,123070338,Adventure|Animation|Comedy|Family|Fantasy,http://www.imdb.com/title/tt1979388/?ref_=fn_tt_tt_1,62836,0,apatosaurus|asteroid|dinosaur|fear|river,345,English,USA,PG,,2015,6.8,2.35,20000
Brave ,488,93,237282182,Adventure|Animation|Comedy|Family|Fantasy,http://www.imdb.com/title/tt1217209/?ref_=fn_tt_tt_1,273556,0,archery|coming of age|female warrior|princess|rebellious daughter,428,English,USA,PG,185000000,2012,7.2,2.35,39000
Star Trek Beyond ,322,122,130468626,Action|Adventure|Sci-Fi|Thriller,http://www.imdb.com/title/tt2660888/?ref_=fn_tt_tt_1,53607,4,hatred|sequel|space opera|star trek|third part,432,English,USA,PG-13,185000000,2016,7.5,2.35,30000
WALL·E ,421,98,223806889,Adventure|Animation|Family|Sci-Fi,http://www.imdb.com/title/tt0910970/?ref_=fn_tt_tt_1,718837,0,earth|obesity|plant|robot|soil,1043,English,USA,G,180000000,2008,8.4,2.35,16000
Rush Hour 3,162,91,140080850,Action|Comedy|Crime|Thriller,http://www.imdb.com/title/tt0293564/?ref_=fn_tt_tt_1,121084,2,ambassador|assassination|chinese|french|triad,221,English,USA,PG-13,140000000,2007,6.2,2.35,0
2012,367,158,166112167,Action|Adventure|Sci-Fi,http://www.imdb.com/title/tt1190080/?ref_=fn_tt_tt_1,283418,0,ark|catastrophe|geologist|president|writer,1055,English,USA,PG-13,200000000,2009,5.8,2.35,13000
A Christmas Carol ,240,96,137850096,Animation|Drama|Family|Fantasy,http://www.imdb.com/title/tt1067106/?ref_=fn_tt_tt_1,72809,0,charles dickens|christmas|christmas eve|ghost|scrooge,249,English,USA,PG,200000000,2009,6.8,2.35,0
Jupiter Ascending ,384,127,47375327,Action|Adventure|Sci-Fi,http://www.imdb.com/title/tt1617661/?ref_=fn_tt_tt_1,139593,1,box office flop|critically bashed|planet earth|space opera|woman in bra and panties,720,English,USA,PG-13,176000000,2015,5.4,2.35,44000
The Legend of Tarzan ,248,110,124051759,Action|Adventure|Drama|Romance,http://www.imdb.com/title/tt0918940/?ref_=fn_tt_tt_1,42372,2,africa|capture|jungle|male objectification|tarzan,239,English,USA,PG-13,180000000,2016,6.6,2.35,29000
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe ",284,150,291709845,Adventure|Family|Fantasy,http://www.imdb.com/title/tt0363771/?ref_=fn_tt_tt_1,286506,5,hide and seek|lion|magic|professor|snow,1463,English,USA,PG,180000000,2005,6.9,2.35,0
X-Men: Apocalypse ,396,144,154985087,Action|Adventure|Sci-Fi,http://www.imdb.com/title/tt3385516/?ref_=fn_tt_tt_1,148379,6,mutant|superhero|superhero team|x men|year 1983,622,English,USA,PG-13,178000000,2016,7.3,2.35,54000
The Dark Knight ,645,152,533316061,Action|Crime|Drama|Thriller,http://www.imdb.com/title/tt0468569/?ref_=fn_tt_tt_1,1676169,0,based on comic book|dc comics|psychopath|star died before release|urban setting,4667,English,USA,PG-13,185000000,2008,9,2.35,37000
